YYYYMM,Unit,Coal Production,Natural Gas (Dry) Production,Crude Oil Production,Natural Gas Plant Liquids Production,Total Fossil Fuels Production,Nuclear Electric Power Production,Hydroelectric Power Production,Geothermal Energy Production,Solar Energy Production,Wind Energy Production,Biomass Energy Production,Total Renewable Energy Production,Total Primary Energy Production
194913,Quadrillion Btu,11.973882,5.377243,10.683252,0.706102,28.740479,0,1.424722,NA,NA,NA,1.549262,2.973984,31.714463
195013,Quadrillion Btu,14.060135,6.232975,11.446729,0.813366,32.553205,0,1.415411,NA,NA,NA,1.562307,2.977718,35.530922
195113,Quadrillion Btu,14.419325,7.415733,13.036724,0.910336,35.782118,0,1.423795,NA,NA,NA,1.534669,2.958464,38.740582
195213,Quadrillion Btu,12.734313,7.963599,13.281049,0.985701,34.964662,0,1.465812,NA,NA,NA,1.474369,2.940181,37.904843
195313,Quadrillion Btu,12.277746,8.338838,13.671076,1.050702,35.338361,0,1.412859,NA,NA,NA,1.418601,2.83146,38.169821
195413,Quadrillion Btu,10.542448,8.681785,13.42693,1.101065,33.752228,0,1.359772,NA,NA,NA,1.394327,2.754099,36.506328
195513,Quadrillion Btu,12.369608,9.344668,14.409682,1.222838,37.346797,0,1.359844,NA,NA,NA,1.424143,2.783987,40.130784
195613,Quadrillion Btu,13.306334,10.002147,15.180241,1.264288,39.75301,0,1.434711,NA,NA,NA,1.415871,2.850582,42.603591
195713,Quadrillion Btu,13.061393,10.605254,15.178026,1.273767,40.11844,1.12e-4,1.515613,NA,NA,NA,1.333581,2.849194,42.967746
195813,Quadrillion Btu,10.783088,10.942235,14.204125,1.275674,37.205122,0.001915,1.591967,NA,NA,NA,1.323123,2.91509,40.122127
195913,Quadrillion Btu,10.777984,11.951826,14.932622,1.369632,39.032065,0.002187,1.548465,NA,NA,NA,1.352874,2.901339,41.935591
196013,Quadrillion Btu,10.817398,12.656133,14.934611,1.446688,39.854831,0.006026,1.607975,3.59e-4,NA,NA,1.31987,2.928204,42.789061
196113,Quadrillion Btu,10.447091,13.104734,15.206196,1.530668,40.28869,0.019678,1.656463,0.001001,NA,NA,1.294762,2.952226,43.260594
196213,Quadrillion Btu,10.90056,13.716861,15.521896,1.570579,41.709896,0.026394,1.816141,0.001061,NA,NA,1.300242,3.117444,44.853735
196313,Quadrillion Btu,11.849229,14.512781,15.965793,1.686928,44.014731,0.038147,1.771355,0.00176,NA,NA,1.323316,3.096431,47.149309
196413,Quadrillion Btu,12.523881,15.298396,16.163568,1.777335,45.76318,0.039819,1.886314,0.002132,NA,NA,1.336802,3.225248,49.028247
196513,Quadrillion Btu,13.055285,15.775441,16.521381,1.853211,47.205318,0.043164,2.059077,0.001978,NA,NA,1.334761,3.395816,50.644298
196613,Quadrillion Btu,13.467679,17.010742,17.561025,1.971083,50.010529,0.064158,2.061519,0.001958,NA,NA,1.368985,3.432462,53.507149
196713,Quadrillion Btu,13.825487,17.943168,18.651304,2.148364,52.568322,0.088456,2.346664,0.0033,NA,NA,1.340249,3.690213,56.346991
196813,Quadrillion Btu,13.608678,19.067853,19.308444,2.289294,54.274269,0.141534,2.348629,0.004532,NA,NA,1.419495,3.772656,58.188458
196913,Quadrillion Btu,13.863346,20.446462,19.556156,2.385951,56.251915,0.153722,2.647983,0.006422,NA,NA,1.440487,4.094892,60.500528
197013,Quadrillion Btu,14.607064,21.66567,20.40121,2.478196,59.152139,0.239347,2.633547,0.005511,NA,NA,1.430962,4.070021,63.461507
197113,Quadrillion Btu,13.185523,22.279791,20.032701,2.512654,58.01067,0.412939,2.824151,0.005739,NA,NA,1.432323,4.262213,62.685822
197213,Quadrillion Btu,14.091685,22.207545,20.041134,2.563714,58.904079,0.583752,2.863865,0.015079,NA,NA,1.503065,4.382009,63.869839
197301,Quadrillion Btu,1.166486,1.908249,1.649833,0.208064,4.932632,0.068103,0.272703,0.001491,NA,NA,0.129787,0.403981,5.404715
197302,Quadrillion Btu,1.086072,1.922543,1.525783,0.195184,4.729582,0.064634,0.242199,0.001363,NA,NA,0.117338,0.3609,5.155115
197303,Quadrillion Btu,1.196571,1.86843,1.667094,0.214807,4.946902,0.072494,0.26881,0.001412,NA,NA,0.129938,0.400161,5.419556
197304,Quadrillion Btu,1.11223,1.777561,1.616791,0.20969,4.716271,0.06407,0.253185,0.001649,NA,NA,0.125636,0.38047,5.160812
197305,Quadrillion Btu,1.216978,1.859241,1.665377,0.215398,4.956995,0.062111,0.26077,0.001537,NA,NA,0.129834,0.392141,5.411246
197306,Quadrillion Btu,1.103861,1.802065,1.603224,0.206945,4.716096,0.073968,0.249859,0.001763,NA,NA,0.125611,0.377232,5.167296
197307,Quadrillion Btu,1.034037,1.841884,1.65724,0.215115,4.748276,0.07589,0.23567,0.001869,NA,NA,0.129787,0.367325,5.191492
197308,Quadrillion Btu,1.319832,1.857199,1.648505,0.216461,5.041997,0.084883,0.222077,0.001762,NA,NA,0.129918,0.353757,5.480638
197309,Quadrillion Btu,1.142385,1.803086,1.577362,0.208671,4.731504,0.085724,0.179733,0.001492,NA,NA,0.125782,0.307006,5.124234
197310,Quadrillion Btu,1.285586,1.836779,1.658452,0.217504,4.998321,0.081971,0.191723,0.00176,NA,NA,0.12997,0.323453,5.403745
197311,Quadrillion Btu,1.178337,1.825548,1.594008,0.21261,4.810504,0.088773,0.210285,0.001889,NA,NA,0.125643,0.337817,5.237093
197312,Quadrillion Btu,1.149749,1.886808,1.629568,0.214072,4.880197,0.087557,0.274435,0.002435,NA,NA,0.129824,0.406694,5.374447
197313,Quadrillion Btu,13.992126,22.187349,19.493237,2.53452,58.207232,0.910177,2.861448,0.020422,NA,NA,1.529068,4.410938,63.528346
197401,Quadrillion Btu,1.251148,1.895424,1.60631,0.20816,4.961042,0.084855,0.304506,0.002154,NA,NA,0.130807,0.437467,5.483364
197402,Quadrillion Btu,1.16539,1.728512,1.484696,0.191245,4.569843,0.090577,0.27995,0.001901,NA,NA,0.118091,0.399942,5.060362
197403,Quadrillion Btu,1.195337,1.860608,1.611977,0.213341,4.881263,0.097966,0.290582,0.002165,NA,NA,0.130727,0.423474,5.402702
